"Save card securely","Salvesta kaart turvaliselt"
"expires %02d/%4d","aegub %02d/%4d"
"Use a new card","Kasuta uut kaarti"
"Saved cards","Salvestatud kaardid"
"Manage saved cards","Halda salvestatud kaarte"
"Card type","Kaardi tüüp"
"Card number","Kaardi number"
"Expires","Aegub"
"Default","Vaikimisi"
"Set as default","Kasuta vaikimisi"
"Delete","Kustuta"
"Are you sure you want to delete this token?","Olete kindel, et soovite selle kaardi kustutada?"
"You have no saved cards.","Teil ei ole salvestatud kaarte"
"Enable payments with saved cards","Võimalda maksed salvestatud kaartidega"
"To save your card securely for easy and faster payments in the future, please <a href=""%s"">log in</a> to your account or create a <a href=""%s"">new account</a>.","Selleks, et oma kaardiandmed turvaliselt salvestada ning tulevikus teostada makseid lihtsalt ja kiirelt, palun <a href=""%s"">sisene</a> enda kontole või loo <a href=""%s"">uus konto</a>."
"My previous orders","Minu eelmised tellimused"
